X,Y,OBJECTID,DCA_ID,TITLE,TYPE,NUMBER_,LOCATION,GANUM,COUNTY_ID,COUNTY_FIP,COUNTY_NM,SDR_NUMBER,RDC_NUMBER,RDC_2001,LONGITUDE,LATITUDE,CONDITION,COMMENT,GlobalID,last_edited_date
-84.390310870178695,33.645877391267049,14,604,Rough and Ready Tavern,GHM,031-2,US 41/Ga 3 in Mountain View,543,13063,063,Clayton,3,1,Atlanta Regional Commission RDC,-84.390307,33.645871,1, ,{8D25C69E-0610-4C5F-A281-084439289F3F},
-84.390296713797071,33.645803555605056,15,596,Jonesboro Threatened,GHM,031-4,US 41/Ga 3 in Mountain View,908,13063,063,Clayton,3,1,Atlanta Regional Commission RDC,-84.390293,33.645797,1, ,{28205C15-416B-4648-B309-BD1654CE457A},
-84.390286674358663,33.645732118152473,16,603,Rough and Ready,GHM,031-5,US 41/Ga 3 in Mountain View,909,13063,063,Clayton,3,1,Atlanta Regional Commission RDC,-84.390282,33.645726,1, ,{5172B007-E91E-4FE3-BEC8-6BE3B8A37A4B},
-84.390265166702306,33.645673750418652,17,617,Transfer Point,GHM,031-6,US 41/Ga 3 in Mountain View,910,13063,063,Clayton,3,1,Atlanta Regional Commission RDC,-84.390261,33.645667,1, ,{BE3515DD-21F7-451A-BDD8-E283247F0A39},
-84.403726746976616,33.615581204762805,18,610,Thames House,GHM,031-18,"Clark Howell Rd, west of Ga 85",1053,13063,063,Clayton,3,1,Atlanta Regional Commission RDC,-84.403723,33.615575,1, ,{921A3EDC-5FDF-4B61-961C-E321601EB397},
-84.429107956335315,33.601767099005791,19,609,Site: The Mann House,GHM,031-33,"Flat Shoals Rd, east of Ga 139",1570,13063,063,Clayton,3,1,Atlanta Regional Commission RDC,-84.429104,33.601761,1, ,{62B2652D-7A6B-46D4-B8FC-34EE09D66D23},
-84.42919483187292,33.601714693211711,20,577,"Baird's Div., 14th A.C.",GHM,031-30,"Ga 139 and Flat Shoals Rd, 2 miles north of Riverdale",1567,13063,063,Clayton,3,1,Atlanta Regional Commission RDC,-84.429191,33.601708,1, ,{A4C26DF1-C085-41C5-993E-227C35AF5C58},
-84.429264472189985,33.601663700798817,21,615,The Marcus Long Crossroads,GHM,031-31,"Intersection of Ga 139 and Flat Shoals Rd, 2 mi N of Riverda",1568,13063,063,Clayton,3,1,Atlanta Regional Commission RDC,-84.42926,33.601657,1, ,{157524B7-A1A0-4EFC-A0A3-174164F723F7},
-84.447572805173522,33.590747033881541,22,608,Site: Shoal Creek Church,GHM,031-34,NE of intersection of Flat Shoals Rd and Fayetteville Rd,1571,13063,063,Clayton,3,1,Atlanta Regional Commission RDC,-84.447569,33.590741,1, ,{8ECB97DB-A617-4135-B589-7DFCA8A1E348},
-84.416034897663849,33.580145962624442,23,605,Site of Couch House,GHM,031-17,"Ga 139 (Church St) between King and Adams, Sts, Riverdale",1052,13063,063,Clayton,3,1,Atlanta Regional Commission RDC,-84.416031,33.58014,1, ,{C6F7125B-2C71-4D3C-9CD9-646FC9927779},
-84.416376303021508,33.56871635039294,24,575,14th A.C. Troops at The Evans Farm,GHM,031-29,"Old Fayetteville Rd at Church St, Riverdale",1566,13063,063,Clayton,3,1,Atlanta Regional Commission RDC,-84.416372,33.56871,1, ,{C95870D4-6976-4B9B-B618-BA8617741139},
-84.414911380229896,33.550406799693796,25,602,Renfroe's Plantation,GHM,031-16,"Ga 85 at Ga 138, south of Riverdale",1051,13063,063,Clayton,3,1,Atlanta Regional Commission RDC,-84.414907,33.5504,1, ,{71ECA544-FC57-438B-A27D-8A5516025042},
-84.348303493249887,33.549936349028854,26,606,Site of McPeak House,GHM,031-23,"Ga 54, 1/4 mile south of Battle Creek Rd, NE of Jonesboro",1560,13063,063,Clayton,3,1,Atlanta Regional Commission RDC,-84.348299,33.54993,1, ,{40D0F45C-E6AC-4DFE-9110-71FB8BED0826},
-84.370334991986994,33.55529431028603,27,590,Hardee's Detour,GHM,031-10,US 41 at Battle Creek Rd north of Jonesboro,1045,13063,063,Clayton,3,1,Atlanta Regional Commission RDC,-84.370331,33.555288,1, ,{88B3626A-3CBE-45AB-9601-77A0FB9A5FD6},
-84.363522558684622,33.525491264929421,28,580,Battlefield Landmark,GHM,031-27,W side of US 41 between Robert E Lee Parkway & Dixon Rd,1564,13063,063,Clayton,3,1,Atlanta Regional Commission RDC,-84.363518,33.525485,1, ,{F101AFAD-4660-4C77-AEE1-4840204AA393},
-84.366514412004889,33.53262050870395,29,578,Battle of Jonesboro: The First Day,GHM,031-26,"North Avenue just west of US 41, west of Jonesboro",1563,13063,063,Clayton,3,1,Atlanta Regional Commission RDC,-84.36651,33.532614,1, ,{A8E2DD3F-3C60-415C-BAA4-54EC6E0E463E},
-84.360511042983333,33.53101676649662,30,576,Attack by Lee's Corps,GHM,031-15,"Fayetteville Road at North Avenue, Jonesboro",1050,13063,063,Clayton,3,1,Atlanta Regional Commission RDC,-84.360507,33.53101,1, ,{CEA4D7B9-C447-4271-B894-A7682F36A08E},
-84.36148882352299,33.521438591857851,31,584,Diverted Attack,GHM,031-14,"Fayetteville Rd at West Mill Rd, west edge of Jonesboro",1049,13063,063,Clayton,3,1,Atlanta Regional Commission RDC,-84.361485,33.521432,1, ,{5C0A0188-BF98-4CE8-9BBA-E3A96C72D733},
-84.353973454108086,33.522774553573115,32,582,Clayton County,GHM,031-7A,"Old Courthouse, Jonesboro",957,13063,063,Clayton,3,1,Atlanta Regional Commission RDC,-84.353969,33.522768,1, ,{B13171A8-E272-46B4-8CD8-C97F969A1938},
-84.375452780674152,33.517862567309393,33,583,Cleburne's Div. At Flint River Bridge,GHM,031-28,Flint River Rd at Roberts Rd just east of Flint River,1565,13063,063,Clayton,3,1,Atlanta Regional Commission RDC,-84.375449,33.517856,1, ,{6ED62D16-A55E-4B52-BAC0-F146B9E2525F},
-84.320540002663535,33.43054450337079,34,587,Georgia Militia at Lovejoy's Station,GHM,031-19,"US 41 just below Talmadge Rd, Lovejoy",1229,13063,063,Clayton,3,1,Atlanta Regional Commission RDC,-84.320536,33.430538,1, ,{BA1FD6B3-9CA0-428B-BFC7-10EA931F8EC5},
-84.324700012462785,33.4488463280343,35,581,Cavalry Action At Lovejoy's Station,GHM,031-22,US 41 at Hastings,1307,13063,063,Clayton,3,1,Atlanta Regional Commission RDC,-84.324696,33.44884,1, ,{C0D7C6E3-C364-44A7-AFEF-AC9AB73F866C},
-84.353606501716513,33.530277078563131,36,618,Two Days of Battle At Jonesboro,GHM,031-11,Confederate Cemetery east of Ga 54 in (north) Jonesboro,1046,13063,063,Clayton,3,1,Atlanta Regional Commission RDC,-84.353602,33.530271,1, ,{1E48AC1E-ADFC-4036-8449-992C0F78FAF6},
-84.354497540596142,33.523482835047119,37,591,Heritage Place - 1981 -, , ,West side of RR at N. McDonough and Ga 138 in Jonesboro,0,13063,063,Clayton,3,1,Atlanta Regional Commission RDC,-84.354493,33.523476,1, ,{96121706-6559-4D82-B617-59CEC93D88E7},
-84.353427345473833,33.532806868557216,38,616,The Warren House,GHM,031-3,"Ga 54 at Mimosa Dr, northwest Jonesboro",757,13063,063,Clayton,3,1,Atlanta Regional Commission RDC,-84.353423,33.5328,1, ,{28C33850-B6C9-4D2F-920C-D161E160366A},
-84.352781415949408,33.533453696661056,39,589,Hardee's Corps at Jonesboro,GHM,031-25,"East side of Ga 54, east of Warren house, Jonesboro",1562,13063,063,Clayton,3,1,Atlanta Regional Commission RDC,-84.352777,33.533447,1, ,{CDB4E510-870C-4FB6-A4AF-66CD88D995FA},
-84.352605836943454,33.534218345642586,40,579,Battle of Jonesboro: The Second Day,GHM,031-24,"Ga 54 just north of Warren House, Jonesboro",1561,13063,063,Clayton,3,1,Atlanta Regional Commission RDC,-84.352602,33.534212,1, ,{39B172D3-488F-43D5-934F-CC25865FBE06},
-84.018804560122788,33.666697604877442,41,2176,Blue Star Memorial Highway,GCG, ,"Green Street at Center St (at RR engine), Conyers",0,13247,247,Rockdale,3,1,Atlanta Regional Commission RDC,-84.0188,33.666691,1, ,{08DEFEA0-9BCA-4D05-96DE-10FF858A74AE},
-84.017716458369392,33.665368526305834,42,2179,Sherman at Conyers,GHM,122-4,Library on Green Street in Conyers,1371,13247,247,Rockdale,3,1,Atlanta Regional Commission RDC,-84.017712,33.665362,1, ,{23D85778-6328-493E-875B-2755329F28A4},
-84.017645871707387,33.665323784244194,43,2175,"""Fightin' Joe Wheeler""",GHM,122-3,Library on Green Street in Conyers,1118,13247,247,Rockdale,3,1,Atlanta Regional Commission RDC,-84.017642,33.665317,1, ,{0EC6C759-3B52-4419-A0B9-B79A24F6E484},
-84.018827599477817,33.669563418076102,44,2177,Conyers Methodist Church,GHM,122-2,"At the church on Main Street, Conyers",1090,13247,247,Rockdale,3,1,Atlanta Regional Commission RDC,-84.018824,33.669557,1, ,{1633FFEB-BB63-4AEC-884B-AD26EC1273BE},
-84.017240911410141,33.667622245492694,45,2178,Rockdale County,GHM,122-1,"(Old) Courthouse on Main Street, Conyers",623,13247,247,Rockdale,3,1,Atlanta Regional Commission RDC,-84.017237,33.667616,1, ,{F1D13D3C-2FC1-47A1-9998-BF43689770C8},
-84.144246024757052,33.485868185886176,46,1511,Shingleroof Campground,GHM,075-9,Ga 155 and Shingleroof Road 2.5 miles north of McDonough,1876,13151,151,Henry,3,1,Atlanta Regional Commission RDC,-84.144242,33.485862,1, ,{7ACA962B-B58E-4A8D-BAE1-37C56E4E9A22},
-84.151832736431842,33.455907132238558,47,1515,The Right Wing at McDonough,GHM,075-5,US 23 at the north city limits of McDonough near the park,1317,13151,151,Henry,3,1,Atlanta Regional Commission RDC,-84.151829,33.455901,1, ,{86BB1BFC-1E12-4FB3-AC24-6C15D7A094F7},
-84.112902203738841,33.35253953347214,48,1510,Locust Grove Institute 1894-1929,GHM,075-8,US 23 at the north edge of Locust Grove,1559,13151,151,Henry,3,1,Atlanta Regional Commission RDC,-84.112898,33.352533,1, ,{64BF1511-B4A4-426C-A488-21C8F20678ED},
-84.087260804423138,33.333844640041939,49,1513,The March to the Sea,GHM,075-6,US 23 about 2 miles south of Locust Grove,1318,13151,151,Henry,3,1,Atlanta Regional Commission RDC,-84.087257,33.333838,1, ,{52EB04C4-72FE-4576-99C9-08B0357CAFBA},
-84.454888284381468,33.448458495158349,50,1041,Fayette County,GHM,056-1,Courthouse on Ga 85 in Fayetteville,642,13113,113,Fayette,3,1,Atlanta Regional Commission RDC,-84.454884,33.448452,1, ,{C294B517-DB65-4FB5-86D5-8C4186C445A8},
-84.529425339697795,33.356355214019516,51,1042,Holly Grove African Methodist Episcopal Church,GHS,56-1,"400 Holly Grove Church Road, Peachtree City",0,13113,113,Fayette,3,1,Atlanta Regional Commission RDC,-84.529421,33.356349,1, ,{EF45A8DD-BA94-4375-A03B-EC83B05C75F0},
-84.58277536251515,33.490186022457941,52,1043,Untitled (Palmer Family Cemetery), , ,"Old Ga 74 (Senoia Rd) just east of Ga 74, N of Tyrone",0,13113,113,Fayette,3,1,Atlanta Regional Commission RDC,-84.582771,33.49018,1, ,{A82834FB-CB04-40F0-8BDA-0F9A2A14DE92},
-84.339934423338164,33.743961211235607,53,878,Fuller's Div. 16th A.C.,GHM,044-69,"East Side Ave just south of McPherson Ave, East Atlanta",977,13089,089,DeKalb,3,1,Atlanta Regional Commission RDC,-84.33993,33.743955,1, ,{C0864F20-3756-4161-9DAE-3D25D429BFEF},
-84.341307384132449,33.74412073487661,54,873,Death of McPherson,GHM,044-45,"At McPherson Monument, McPherson and Monument Aves, East Atl",918,13089,089,DeKalb,3,1,Atlanta Regional Commission RDC,-84.341303,33.744114,1, ,{A710478E-7BF3-4A6C-A8F3-9638F07B7C56},
-84.341356657632247,33.744084937893703,55,892,Historic Ground-1864,GHM,044-68,"At McPherson Monument, McPherson and Monument Aves, East Atl",976,13089,089,DeKalb,3,1,Atlanta Regional Commission RDC,-84.341352,33.744079,1, ,{7B69F037-017E-4D8F-81E5-99933AFCFECD},
-84.344317728917986,33.740638866272811,56,866,"Cleburne Outflanked Left Wing, 17th A.C.",GHM,044-64,"Haas Avenue north of Glenwood Ave, East Atlanta",972,13089,089,DeKalb,3,1,Atlanta Regional Commission RDC,-84.344314,33.740632,1, ,{864F9E79-325D-4E1F-879F-EA1292A625E1},
-84.342943884142358,33.742438195554705,57,868,Cleburne's Div. in the Federal Rear,GHM,044-65,"Patterson and Metropolitan Aves, East Atlanta",973,13089,089,DeKalb,3,1,Atlanta Regional Commission RDC,-84.34294,33.742432,6, ,{FB7F5886-F444-4E9C-B4F4-06708CC54DC2},
-84.330277295171868,33.740012765568672,58,938,Walker's Division in Sugar Creek Valley,GHM,044-54A,Glenwood Ave just west of I-20 interchange,927,13089,089,DeKalb,3,1,Atlanta Regional Commission RDC,-84.330273,33.740006,1, ,{E9C4C4CD-1067-43CF-B3BF-4B7BAAD88131},
-84.340303469124578,33.734052186017529,59,867,Cleburne's & Maney's Divs.,GHM,044-62,"Flat Shoals at Ormewood Ave (S of Glenwood), East Atlanta",970,13089,089,DeKalb,3,1,Atlanta Regional Commission RDC,-84.340299,33.734046,1, ,{5B9CD919-AF69-480C-874F-A4A6CA0D3D55},
-84.347246807458575,33.736955724735495,60,899,Maney's Div. in the Battle of Atlanta,GHM,044-63,Pendleton St in Joseph E. Brown Park,971,13089,089,DeKalb,3,1,Atlanta Regional Commission RDC,-84.347243,33.736949,1, ,{1F78583B-DC58-4BFD-85B6-C5B4C02BB793},
-84.349386917416254,33.744856570299397,61,940,Wheeler's Cav. Intrenched,GHM,044-66,Moreland Ave at I-20 overpass,974,13089,089,DeKalb,3,1,Atlanta Regional Commission RDC,-84.349383,33.74485,1, ,{7E0EAA53-9FF9-437D-8C91-0B4320E3F28C},
-84.349385362940851,33.744902257769375,62,893,Leggett's Hill,GHM,044-67,Moreland Avenue at I-20 overpass,975,13089,089,DeKalb,3,1,Atlanta Regional Commission RDC,-84.349381,33.744896,1, ,{8B3C67BF-0DDE-4844-83E1-DE462AE31F7B},
-84.373433126907145,33.734076387965658,63,1167,Grant Park,GHM,060-107,"Cherokee Ave and Georgia Ave at park entrance, Atlanta",984,13121,121,Fulton,3,1,Atlanta Regional Commission RDC,-84.373429,33.73407,1, ,{68903F9A-34A7-4153-AEBD-46FD9E94A14A},
-84.368525095046124,33.730432066766177,64,1148,Fort Walker,GHM,060-108,"Grant Park, Boulevard and Atlanta Ave, Atlanta",985,13121,121,Fulton,3,1,Atlanta Regional Commission RDC,-84.368521,33.730426,1, ,{6C7C7EAD-71B4-44F3-A43E-0AEDC009CA41},
-84.355610708332108,33.727393683724991,65,1275,To Robert Burns,GLG, ,"At Burns Cottage, 988 Alloway, Atlanta",0,13121,121,Fulton,3,1,Atlanta Regional Commission RDC,-84.355607,33.727387,1, ,{9CB1AB94-7238-4469-966B-5617A8A6AE60},
-84.329992988561145,33.719304972219014,66,886,Hardee at Road Fork,GHM,044-56,Bouldercrest Dr at Fayetteville Rd,929,13089,089,DeKalb,3,1,Atlanta Regional Commission RDC,-84.329989,33.719299,1, ,{134AAAD9-02CC-4A18-9AF5-D48F77E4608D},
-84.33228501968685,33.701611968084158,67,887,Hardee at Wm. Cobb's House,GHM,044-57,1510 Key Road at Entrenchment Creek Water Plant,930,13089,089,DeKalb,3,1,Atlanta Regional Commission RDC,-84.332281,33.701606,1, ,{87370DC7-A857-4587-8902-319B6A8B3628},
-84.332321137167312,33.701582725587443,68,911,Site: Cobb's Mill,GHM,044-58,1510 Key Rd at Entrenchment Creek Water Plant,931,13089,089,DeKalb,3,1,Atlanta Regional Commission RDC,-84.332317,33.701576,1, ,{0DD2D4B7-239C-4AD6-B589-EAB4D66D277B},
-84.350760970402732,33.70429905397382,69,1173,Hardee's Night March,GHM,060-105,"McDonough Rd just west of Moreland Ave, Atlanta",983,13121,121,Fulton,3,1,Atlanta Regional Commission RDC,-84.350757,33.704293,1, ,{075FF355-E6C6-4D18-99D8-09E6760F3B71},
-84.352777603813948,33.704358897220828,70,1233,Route of Stewart's Corps from Atlanta,GHM,060-106,"1075 McDonough Rd 2 blocks west of Moreland Ave, Atlanta",986,13121,121,Fulton,3,1,Atlanta Regional Commission RDC,-84.352773,33.704352,2, ,{666E8A4F-F346-46EF-83AE-8B4E4ED023E2},
-84.3468927035359,33.687527550512428,71,888,Hardee's March Turned N.E. on Fayetteville Road,GHM,044-59,"Fayetteville Rd at Fleetwood Dr, near Moreland Ave",969,13089,089,DeKalb,3,1,Atlanta Regional Commission RDC,-84.346889,33.687521,1, ,{4931A750-E62F-4F8A-85C9-DBE4C1B3254E},
-84.345539241408943,33.679690377364786,72,883,Gen. S. D. Lee's Corps,GHM,044-60,Moreland Ave (US 23) at bridge over South River,932,13089,089,DeKalb,3,1,Atlanta Regional Commission RDC,-84.345535,33.679684,1, ,{E55658C0-FD1A-4C5C-8F72-66A231C7696E},
-84.408414234951479,33.659679948272171,73,1170,"Hapeville, Georgia", , ,"King Arnold and N. Fulton, 1 blk N of old depot, Hapeville",0,13121,121,Fulton,3,1,Atlanta Regional Commission RDC,-84.40841,33.659674,1, ,{CA1D11DF-0893-4F4B-8BB5-95960087F07C},
-84.399556195116688,33.681312570747998,74,1166,Gilbert Memorial Cemetery,GHM,060-199,"Cleveland Avenue at I-75, Atlanta",1881,13121,121,Fulton,3,1,Atlanta Regional Commission RDC,-84.399552,33.681306,1, ,{A648C648-2588-4E82-A953-A82902AD316C},
-84.40836300941541,33.677498217547559,75,1212,Mt. Zion Methodist Church,GHM,060-123,"Stewart Avenue at Old Jonesboro Rd, Atlanta",1547,13121,121,Fulton,3,1,Atlanta Regional Commission RDC,-84.408359,33.677492,1, ,{955873D6-F7BA-421C-812E-B0B54E7913DB},
-84.440073190434674,33.67938719374586,76,1138,East Point,GHM,060-118,"Main St just N of Cleveland St by MARTA tracks, East Point",1341,13121,121,Fulton,3,1,Atlanta Regional Commission RDC,-84.440069,33.679381,1, ,{9B1D3165-C599-4A79-A89F-E930DB9EFE77},
-84.449668484684025,33.71566852933514,77,1184,Historic Utoy Church,GHM,060-192,"Cahaba Dr at cemetery just off Venetian Dr, Atlanta",1744,13121,121,Fulton,3,1,Atlanta Regional Commission RDC,-84.449664,33.715662,1, ,{65F91415-CBE5-4676-94DB-B65E3242538E},
-84.473285241692423,33.719872990167502,78,1108,Battle of Utoy Creek,GHM,060-159,"Cascade Avenue just west of Woodland Terrace, Atlanta",1592,13121,121,Fulton,3,1,Atlanta Regional Commission RDC,-84.473281,33.719867,1, ,{A6A46C07-A8D9-4BCF-B97E-93AF90B2454E},
-84.473519389742691,33.71982328725462,79,1258,The Embattled Ridge,GHM,060-160,"Cascade Ave between Dodson Rd and Woodland Terrace, Atlanta",1593,13121,121,Fulton,3,1,Atlanta Regional Commission RDC,-84.473515,33.719817,1, ,{7BAC2F0A-5CE1-4D84-A837-5D54AFA69EB7},
-84.502229640643122,33.72315679463685,80,1247,Site: Utoy Post Office On Old Sandtown Rd.,GHM,060-165,Cascade Rd at east side of I-285 junction,1597,13121,121,Fulton,3,1,Atlanta Regional Commission RDC,-84.502225,33.72315,1, ,{118D4886-0661-4BBA-951B-84E1F2CB269D},
-84.479136814232064,33.739147626524883,81,1279,Valley of Utoy Creek,GHM,060-152,"Peyton Rd at bridge over North Fork of Utoy Creek, Atlanta",1591,13121,121,Fulton,3,1,Atlanta Regional Commission RDC,-84.479133,33.739141,1, ,{0CCBD0E4-7B92-4899-8184-40A99AE9ECF7},
-84.456615050327599,33.750173575053999,82,1270,The Siege Lifted,GHM,060-163,"Martin Luther King Dr near Larchwood Road, Atlanta",1595,13121,121,Fulton,3,1,Atlanta Regional Commission RDC,-84.456611,33.750167,1, ,{FEAF7178-4A7F-4BC9-824B-500161DC764C},
-84.440101334539634,33.747409762703406,83,1125,"Clayton's Div., Lee's A.C.",GHM,060-145,"Westview Dr at Laurel Ave, Atlanta (Removed-duplicate)",1585,13121,121,Fulton,3,1,Atlanta Regional Commission RDC,-84.440097,33.747403,1,Marker Removed,{6B872571-2148-4B2F-9ABF-29BD24A3549E},
-84.433088129279341,33.738883526669369,84,1260,The Exterior Line July-August 1864,GHM,060-136,"Cascade Ave at Martin Luther King Dr, Atlanta",1578,13121,121,Fulton,3,1,Atlanta Regional Commission RDC,-84.433084,33.738877,1, ,{FA08383D-4039-4EC2-AFC0-57FA110F35DD},
-84.422145680751768,33.738117214782143,85,1273,The Wren's Nest Home of Joel Chandler Harris,GHM,060-190A,"1050 Ralph David Abernathy Street, Atlanta",1621,13121,121,Fulton,3,1,Atlanta Regional Commission RDC,-84.422141,33.738111,1, ,{C5B1749A-42AD-45B9-8F7F-2CF21424FC9F},
-84.340145664762787,33.583428622157015,86,600,"Morrow, Georgia",GHM,031-36,"In front of Morrow City Hall, Ga 54, Morrow",1782,13063,063,Clayton,3,1,Atlanta Regional Commission RDC,-84.340141,33.583422,1, ,{C69A2856-07FB-4063-941D-21FA4A1062F9},
-84.341750922281221,33.575077276156115,87,614,The March to the Sea,GHM,031-20,"North side of Ga 54 at I-75 Interchange (at hotel), Morrow",1305,13063,063,Clayton,3,1,Atlanta Regional Commission RDC,-84.341747,33.575071,1, ,{1E00CC4C-3617-4A03-8006-76A8BED0B7AC},
-84.287206453708123,33.577800748017431,88,598,March and Counter-March,GHM,031-12,US 23 at Fielder Rd about 1/2 mile north of I-675 junction,1047,13063,063,Clayton,3,1,Atlanta Regional Commission RDC,-84.287202,33.577794,1, ,{5FB4B8BE-1CC4-4C61-A2C7-547E167FE409},
-84.238210594083128,33.544237523381689,89,1516,The Right Wing at Stockbridge,GHM,075-4,US 23 at the First United Methodist Church in Stockbridge,1316,13151,151,Henry,3,1,Atlanta Regional Commission RDC,-84.238206,33.544231,1, ,{23ABD34B-03F0-432D-9B1F-6BD1000A2EB7},
-84.234992608516265,33.544448898565257,90,1514,The Orphan Brigade,GHM,075-2,"At the Stockbridge Presbyterian Church on US 23, Stockbridge",1192,13151,151,Henry,3,1,Atlanta Regional Commission RDC,-84.234988,33.544443,1, ,{36CF872C-A8A9-4533-ACE0-474A6D073C06},
-84.261587742602131,33.566738652839433,91,1512,The March to the Sea,GHM,075-3,"US 23 at Valley Hill Rd, about 2.5 miles NW of Stockbridge",1315,13151,151,Henry,3,1,Atlanta Regional Commission RDC,-84.261584,33.566732,1, ,{1B56DC36-AF1E-4994-8D7B-8B3E4DDD6EFC},
-84.270397707776013,33.61134109945975,92,601,Old Stagecoach Road,GHM,031-1,"Stagecoach Rd and Panola Rd, Ellenwood",340,13063,063,Clayton,3,1,Atlanta Regional Commission RDC,-84.270394,33.611335,1, ,{CFD25DA0-B071-4806-B8FF-9F0D42778119},
-84.428108579235328,33.71284548235316,93,1145,Fort McPherson,GHM,060-172,Hardee Ave and Haney Plaza at Fort McPherson,1901,13121,121,Fulton,3,1,Atlanta Regional Commission RDC,-84.428104,33.712839,3, ,{F0ED0E84-4B9A-4E6F-B079-09DB9F5D11FC},
-84.428231900187228,33.711758966953248,94,1196,Kilpatrick's Cavalry on the Newnan Stage Road,GHM,060-116B,"Cobb and Hardee Drives, Fort McPherson",1231,13121,121,Fulton,3,1,Atlanta Regional Commission RDC,-84.428228,33.711753,1, ,{3D93E099-B86E-4C7B-8537-23CADBF01D7C},
-84.453887553751301,33.828015638702837,95,1250,Standing Peach Tree,GHM,060-60,"At Fort Peach Tree, Atlanta Water Works, off Ridgewood Rd",804,13121,121,Fulton,3,1,Atlanta Regional Commission RDC,-84.453883,33.828009,3, ,{800949CA-DA07-40DB-8921-7279CB7E7A12},
